ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Dây ?àn Guitar Classic Alice A106,1,,visible,,,,,taxable,,1,,,,,,,,,,27.999 ?,40.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-Gu.jpg,,,,,,,,,
,simple,,Ch?t G?n Dây ?eo ?àn Guitar (tr?ng),1,,visible,,,,,taxable,,1,,,,,,,,,,27.000 ?,50.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Chot-Gan-D.jpg,,,,,,,,,
,simple,,Dây ?àn guitar classic Alice A107BK H,1,,visible,,,,,taxable,,1,,,,,,,,,,59.000 ?,120.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-gu.jpg,,,,,,,,,
,simple,,Dây ?àn Guitar Acoustic Màu,1,,visible,,,,,taxable,,1,,,,,,,,,,45.000 ?,85.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-Gu.jpg,,,,,,,,,
,simple,,"Máy lên ?ây ?àn ?a n?ng Chromatic Tuner GT-10 (Guitar, Ukulele, Violin, Bass, Mandolin, Nguy?t, Nh?, Chromatic Tuning...)  ",1,,visible,,,,,taxable,,1,,,,,,,,,,69.000 ?,80.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/May-len-da.jpg,,,,,,,,,
,simple,,Máy lên dây ?àn guitar Tuner Eno ET-33 (?en),1,,visible,,,,,taxable,,1,,,,,,,,,,79.000 ?,139.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/May-len-da.jpg,,,,,,,,,
,simple,,Ch?t dây ?àn guitar acoustic - ch?t nh?a màu ?en,1,,visible,,,,,taxable,,1,,,,,,,,,,9.000 ?,30.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Chot-day-d.jpg,,,,,,,,,
,simple,,12Pcs Inflatable Guitar Shape Musical Toys Decorative Accessories for Swimming Pool Party Wedding Anniversary Stage Mall Baby Shower Home Decorations Shooting Props Children&#x27;s Day Gift Mixed Color - intl,1,,visible,,,,,taxable,,1,,,,,,,,,,266.000 ?,409.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/12Pcs-Infl.jpg,,,,,,,,,
,simple,,Dây ?eo guitar màu ?en  ,1,,visible,,,,,taxable,,1,,,,,,,,,,39.000 ?,60.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-deo-gu.jpg,,,,,,,,,
,simple,,B? Dây ?àn Guitar Acoustic D&#x27;Addario EZ900 (Cam k?t 100% hàng hãng USA),1,,visible,,,,,taxable,,1,,,,,,,,,,107.000 ?,149.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Day-Dan.jpg,,,,,,,,,
,simple,,Dây ?àn Guitar Acoustic Alice AW436,1,,visible,,,,,taxable,,1,,,,,,,,,,76.000 ?,158.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-Dan-Gu.jpg,,,,,,,,,
,simple,,Dây 6 li c?m ?àn Guitar,1,,visible,,,,,taxable,,1,,,,,,,,,,126.000 ?,190.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-6-li-c.jpg,,,,,,,,,
,simple,,X??ng r?ng Nón ??u Lâu Ch?i ?àn Guitar Mexico H?nh Phúc Ngày Ch?t Hình Minh H?a Hình Gi?t N??c Hình M?t Dây Chuy?n Vòng C? Trang S?c Dây Chuy?n món Quà trang trí-qu?c t?,1,,visible,,,,,taxable,,1,,,,,,,,,,413.000 ?,656.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Xuong-rong.jpg,,,,,,,,,
,simple,,Aukey Store High Quality Products Dog Guitar Clothes Costume Fancy Dress Halloween Day Funny Outfit Cosplay Party XL - intl,1,,visible,,,,,taxable,,1,,,,,,,,,,181.000 ?,362.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Aukey-Stor.jpg,,,,,,,,,
,simple,,Dây l? guitar ( Dây s? 1),1,,visible,,,,,taxable,,1,,,,,,,,,,10.000 ?,15.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-le-gui.jpg,,,,,,,,,
,simple,,12Pcs Inflatable Guitar Shape Musical Toys Decorative Accessories for Swimming Pool Party Wedding Anniversary Stage Mall Baby Shower Home Decorations Shooting Props Children&#x27;s Day Gift Mixed Color - intl,1,,visible,,,,,taxable,,1,,,,,,,,,,199.000 ?,299.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/12Pcs-Infl.jpg,,,,,,,,,
,simple,,B? H?p 6 Dây ?àn Guitar Classic D&#x27;Addario EJ27N Cao C?p + Pick Alice,1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ?,250.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Hop-6-D.jpg,,,,,,,,,
,simple,,Dây ?àn guitar 7 màu 107,1,,visible,,,,,taxable,,1,,,,,,,,,,56.049 ?,80.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-gu.jpg,,,,,,,,,
,simple,,Dây ?àn Guitar Acoustic D&#x27;Addario EJ13,1,,visible,,<p>,,,taxable,,1,,,,,,,,,,135.000 ?,250.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-Dan-Gu.jpg,,,,,,,,,
,simple,,Dây l? guitar ( Dây s? 1),1,,visible,,"<p>As an expression of confidence in the excellence of the design, materials and workmanship involved in all the various aspects of bringing Kenh Ban Dan SG Guitar Products to you, Kenh Ban Dan SG Corporation of America (hereinafter referred to as &ldquo;Kenh Ban Dan SG&rdquo;) provides the following warranty. Please read the entire text in order that you may become familiar with its terms. If you should have any questions, please contact the retailer that sold you the Kenh Ban Dan SG Guitar Product or contact Kenh Ban Dan SG directly. CONDITIONS OF LIMITED WARRANTY If, during the applicable period from the date of original purchase, your Kenh Ban Dan SG Guitar Product is found on authorized inspection to have a defect in material or workmanship, a Kenh Ban Dan SG Service Center will repair such defect without charge for parts or labor. ROUTINE MAINTE- NANCE WORK AND THE RESULTS OF NORMAL WEAR ARE NOT COVERED BY THIS WARRANTY. WARRANTY PERIOD ONE (1) YEAR PARTS AND LABOR: Tuning hardware, tail piece, bridge, plating, pickguard, vibrato mechanisms, and electronic/electrical components. LIMITED LIFETIME: Top, neck, back and sides Kenh Ban Dan SG will replace any individual component, that by a competent technical entity is determined to be defective, without charge for parts or labor. Parts replaced under this warranty are warranted for the remainder of the original parts warranty or for 90 days, whichever period is longer. Kenh Ban Dan SG reserves the right to utilize reconditioned parts and subassemblies as warranty replacements in the repair of the product. In the event Kenh Ban Dan SG determines that the unit cannot be repaired, Kenh Ban Dan SG will replace the defective unit with either the same model product or one that is reasonably equivalent. Should warranty service be required, your warranty periods will be extended by the number of days that elapse between the date you report a defect and the date that the unit is repaired. THIS WARRANTY IS VALID ONLY WHEN A NEW Kenh Ban Dan SG Guitar Product IS PURCHASED FROM AN AUTHORIZED KENH BAN DAN SG RETAIL- ER AND IS AVAILABLE TO THE ORIGINAL PURCHASER ONLY. If you wish to obtain the protection of a Kenh Ban Dan SG warranty, you should determine that you are purchasing, or have purchased, your unit from an authorized retailer. Please contact Kenh Ban Dan SG directly if you have any ques- tions regarding the Kenh Ban Dan SG limited lifetime warranty.This limited life- time warranty is applicable only in the fifty states of the USA and the District of Columbia. It is not applicable in the possessions or territories of the USA or in any other country. THIS WARRANTY IS THE ONLY WARRANTY, WHICH KENH BAN DAN SG MAKES WITH RESPECT TO YOUR KENH BAN DAN SG GUITAR PRODUCT. KENH BAN DAN SG DISCLAIMS ALL OTHER WARRANTIES RELATING TO THE GUITAR PRODUCT, INCLUDING THE WARRANTIES OF MER- CHANTABILITY AND FITNESS FOR A PARTICULAR USE. THERE ARE NO WARRANTIES OTHER THAN THE EXPRESS LIMITED WARRANTY STATED HERE. IN ANY EVENT, KENH BAN DAN SG SHALL NOT BE LIABLE FOR ANY INCIDENTAL OR CONSEQUENTIAL DAM- AGES. Some states do not allow the exclusion or limitation of incidental or con- sequential damages and some states do not allow limitations on how long an implied warranty may last; therefore, the above limitations or exclu- sions may not apply to you. This warranty gives you specific legal rights. You may also have other rights that vary from state to state. In the event any of the provisions of this warranty are found by statute or by applica- ble administrative or judicial entity to be unenforceable, the remaining provisions shall remain in force. OWNER&rsquo;S RESPONSIBILITIES This warranty does NOT cover expenses incurred due to a lack of understanding of the functioning of the Guitar product when it is operating as designed. Your retailer is also an excellent source of information and should be contacted when needed for assistance regarding the proper operation of your Guitar Product. In order for Kenh Ban Dan SG to provide proper warranty service, it is necessary that the purchaser of a new Guitar or Percussion Product assume the following responsibilities: 1. Retain proof of purchase documents for the duration of the war- ranty periods. You will be requested by Kenh Ban Dan SG to provide proof of purchase in order to receive warranty service. 2. Notify an authorized Guitar Product retailer of any apparent defects promptly upon their discovery. If your concern has not been resolved within 30 days, contact Kenh Ban Dan SG directly. 3. Permit a Kenh Ban Dan SG Warranty Repair center to provide the applica- ble warranty service during normal business hours. If you feel a defect exists, contact your Kenh Ban Dan SG guitar dealer in your area authorized to sell Kenh Ban Dan SG guitars. You may also contact Kenh Ban Dan SG directly. IMPORTANT: DO NOT SHIP your guitar to any service center or to Kenh Ban Dan SG without a Return Authorization. Inbound shipping and insurance charges are your responsibility. No collect shipments will be accepted. Products repaired under warranty will be returned to you prepaid and insured for replacement value only. Insurance cov- erage in excess of replacement value will be purchased only if requested by you. These costs will be your responsibility and may also include COD charges. EXCLUSIONS This warranty does not cover the following: 1. Failures that are the result of improper operations, maintenance or repair. 2. Failures that result from abnormal strain, neglect, modification, accidental damage or exposure to extremes in tempera ture or relative humidity. 3. Products purchased from dealers not authorized by Kenh Ban Dan SG to sell Kenh Ban Dan SG Guitar Product. 4. Products whose trademark, name, or identification numbers have been altered or removed.Guitars marked &ldquo;by Kenh Ban Dan SG&rdquo; are not covered by this warranty. 5. Failures traceable to repairs/modifications performed by any one not authorized by Kenh Ban Dan SG to perform such services. 6. Guitars no longer owned by the original purchaser. 7. Normal wear including strings, frets, finish, fingerboard, accidental damage, and abuse. 8. Tone. Tone is based on the subjective perception of the listener. This being the case, it cannot be guaranteed.&nbsp; As an expression of confidence in the excellence of the design, materials and workmanship involved in all the various aspects of bringing Kenh Ban Dan SG Guitar Products to you, Kenh Ban Dan SG Corporation of America (hereinafter referred to as &ldquo;Kenh Ban Dan SG&rdquo;) provides the following warranty. Please read the entire text in order that you may become familiar with its terms. If you should have any questions, please contact the retailer that sold you the Kenh Ban Dan SG Guitar Product or contact Kenh Ban Dan SG directly. CONDITIONS OF LIMITED WARRANTY If, during the applicable period from the date of original purchase, your Kenh Ban Dan SG Guitar Product is found on authorized inspection to have a defect in material or workmanship, a Kenh Ban Dan SG Service Center will repair such defect without charge for parts or labor. ROUTINE MAINTE- NANCE WORK AND THE RESULTS OF NORMAL WEAR ARE NOT COVERED BY THIS WARRANTY. WARRANTY PERIOD ONE (1) YEAR PARTS AND LABOR: Tuning hardware, tail piece, bridge, plating, pickguard, vibrato mechanisms, and electronic/electrical components. LIMITED LIFETIME: Top, neck, back and sides Kenh Ban Dan SG will replace any individual component, that by a competent technical entity is determined to be defective, without charge for parts or labor. Parts replaced under this warranty are warranted for the remainder of the original parts warranty or for 90 days, whichever period is longer. Kenh Ban Dan SG reserves the right to utilize reconditioned parts and subassemblies as warranty replacements in the repair of the product. In the event Kenh Ban Dan SG determines that the unit cannot be repaired, Kenh Ban Dan SG will replace the defective unit with either the same model product or one that is reasonably equivalent. Should warranty service be required, your warranty periods will be extended by the number of days that elapse between the date you report a defect and the date that the unit is repaired. THIS WARRANTY IS VALID ONLY WHEN A NEW Kenh Ban Dan SG Guitar Product IS PURCHASED FROM AN AUTHORIZED KENH BAN DAN SG RETAIL- ER AND IS AVAILABLE TO THE ORIGINAL PURCHASER ONLY. If you wish to obtain the protection of a Kenh Ban Dan SG warranty, you should determine that you are purchasing, or have purchased, your unit from an authorized retailer. Please contact Kenh Ban Dan SG directly if you have any ques- tions regarding the Kenh Ban Dan SG limited lifetime warranty.This limited life- time warranty is applicable only in the fifty states of the USA and the District of Columbia. It is not applicable in the possessions or territories of the USA or in any other country. THIS WARRANTY IS THE ONLY WARRANTY, WHICH KENH BAN DAN SG MAKES WITH RESPECT TO YOUR KENH BAN DAN SG GUITAR PRODUCT. KENH BAN DAN SG DISCLAIMS ALL OTHER WARRANTIES RELATING TO THE GUITAR PRODUCT, INCLUDING THE WARRANTIES OF MER- CHANTABILITY AND FITNESS FOR A PARTICULAR USE. THERE ARE NO WARRANTIES OTHER THAN THE EXPRESS LIMITED WARRANTY STATED HERE. IN ANY EVENT, KENH BAN DAN SG SHALL NOT BE LIABLE FOR ANY INCIDENTAL OR CONSEQUENTIAL DAM- AGES. Some states do not allow the exclusion or limitation of incidental or con- sequential damages and some states do not allow limitations on how long an implied warranty may last; therefore, the above limitations or exclu- sions may not apply to you. This warranty gives you specific legal rights. You may also have other rights that vary from state to state. In the event any of the provisions of this warranty are found by statute or by applica- ble administrative or judicial entity to be unenforceable, the remaining provisions shall remain in force. OWNER&rsquo;S RESPONSIBILITIES This warranty does NOT cover expenses incurred due to a lack of understanding of the functioning of the Guitar product when it is operating as designed. Your retailer is also an excellent source of information and should be contacted when needed for assistance regarding the proper operation of your Guitar Product. In order for Kenh Ban Dan SG to provide proper warranty service, it is necessary that the purchaser of a new Guitar or Percussion Product assume the following responsibilities: 1. Retain proof of purchase documents for the duration of the war- ranty periods. You will be requested by Kenh Ban Dan SG to provide proof of purchase in order to receive warranty service. 2. Notify an authorized Guitar Product retailer of any apparent defects promptly upon their discovery. If your concern has not been resolved within 30 days, contact Kenh Ban Dan SG directly. 3. Permit a Kenh Ban Dan SG Warranty Repair center to provide the applica- ble warranty service during normal business hours. If you feel a defect exists, contact your Kenh Ban Dan SG guitar dealer in your area authorized to sell Kenh Ban Dan SG guitars. You may also contact Kenh Ban Dan SG directly. IMPORTANT: DO NOT SHIP your guitar to any service center or to Kenh Ban Dan SG without a Return Authorization. Inbound shipping and insurance charges are your responsibility. No collect shipments will be accepted. Products repaired under warranty will be returned to you prepaid and insured for replacement value only. Insurance cov- erage in excess of replacement value will be purchased only if requested by you. These costs will be your responsibility and may also include COD charges. EXCLUSIONS This warranty does not cover the following: 1. Failures that are the result of improper operations, maintenance or repair. 2. Failures that result from abnormal strain, neglect, modification, accidental damage or exposure to extremes in tempera ture or relative humidity. 3. Products purchased from dealers not authorized by Kenh Ban Dan SG to sell Kenh Ban Dan SG Guitar Product. 4. Products whose trademark, name, or identification numbers have been altered or removed.Guitars marked &ldquo;by Kenh Ban Dan SG&rdquo; are not covered by this warranty. 5. Failures traceable to repairs/modifications performed by any one not authorized by Kenh Ban Dan SG to perform such services. 6. Guitars no longer owned by the original purchaser. 7. Normal wear including strings, frets, finish, fingerboard, accidental damage, and abuse. 8. Tone. Tone is based on the subjective perception of the listener. This being the case, it cannot be guaranteed.",,,taxable,,1,,,,,,,,,,9.000 ?,18.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-le-gui.jpg,,,,,,,,,
,simple,,B? 6 dây ?àn ghi-ta Classic-Alice A106,1,,visible,,,,,taxable,,1,,,,,,,,,,22.000 ?,40.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-6-day-d.jpg,,,,,,,,,
,simple,,B? 6 dây ?àn acoustic Alice A406 và Capo Guitar Vines PBA105BK,1,,visible,,,,,taxable,,1,,,,,,,,,,129.000 ?,255.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-6-day-d.jpg,,,,,,,,,
,simple,,B? 6 dây ?àn guitar Classic Alice A107  ,1,,visible,,,,,taxable,,1,,,,,,,,,,45.000 ?,114.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-6-day-d.jpg,,,,,,,,,
,simple,,Aukey Store High Quality Products Dog Guitar Clothes Costume Fancy Dress Halloween Day Funny Outfit Cosplay Party M - intl,1,,visible,,,,,taxable,,1,,,,,,,,,,246.000 ?,492.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Aukey-Stor.jpg,,,,,,,,,
,simple,,Mi?ng Dán Ch?ng Tr?y Guitar 20A3-Ch,1,,visible,,,,,taxable,,1,,,,,,,,,,27.000 ?,60.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Mieng-Dan-.jpg,,,,,,,,,
,simple,,"B? Dây ?àn Elixir C? 12 Acoustic Guitar Phosphor Bronze Strings 16052 - Hãng phân ph?i b?i Ti?n M?nh Music (Ph? l?p Nanoweb cao c?p - Cam k?t 100% chính hãng, sai hoàn ti?n g?p 10 l?n)",1,,visible,,,,,taxable,,1,,,,,,,,,,331.000 ?,409.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Day-Dan.jpg,,,,,,,,,
,simple,,TAY QUAY THAY DÂY GUITAR (1 MÀU NG?U NHIÊN),1,,visible,,,,,taxable,,1,,,,,,,,,,25.000 ?,50.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/TAY-QUAY-T.jpg,,,,,,,,,
,simple,,Tr? em Bé 4 Dây ?àn Acoustic ?? Ch?i Âm Nh?c (Qu?c T?),1,,visible,,,,,taxable,,1,,,,,,,,,,119.700 ?,199.500 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Tre-em-Be-.jpg,,,,,,,,,
,simple,,X??ng r?ng Nón ??u Lâu Ch?i ?àn Guitar Mexico H?nh Phúc Ngày Ch?t Hình Minh H?a Hình Tam Giác M?t Dây Chuy?n Vòng C? Trang S?c Dây Chuy?n món Quà trang trí-qu?c t?,1,,visible,,,,,taxable,,1,,,,,,,,,,413.000 ?,656.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Xuong-rong.jpg,,,,,,,,,
,simple,,X??ng r?ng Nón ??u Lâu Ch?i ?àn Guitar Mexico H?nh Phúc Ngày Ch?t Hình Minh H?a Hình Tròn M?t Dây Chuy?n Vòng C? Trang S?c Dây Chuy?n món Quà trang trí-qu?c t?,1,,visible,,,,,taxable,,1,,,,,,,,,,413.000 ?,656.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Xuong-rong.jpg,,,,,,,,,
,simple,,Máy lên dây ?àn guitar Tuner Eno ET-33 (?en),1,,visible,,,,,taxable,,1,,,,,,,,,,70.200 ?,100.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/May-len-da.jpg,,,,,,,,,
,simple,,"Máy lên ?ây ?àn ?a n?ng Musedo Chromatic Tuner T-29C (Guitar, Ukulele, Violin, Bass, Chromatic)",1,,visible,,,,,taxable,,1,,,,,,,,,,89.000 ?,130.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/May-len-da.jpg,,,,,,,,,
,simple,,Dây ?àn Guitar Acoustic Alice A406,1,,visible,,"<p>D&acirc;y ?&agrave;n <strong>Guitar&nbsp;acoustic Alice A406</strong><br /> - D&acirc;y Alice A406 c&oacute; ch?t l??ng &acirc;m thanh t?t, ?? b?n cao, &iacute;t g? s&eacute;t<br /> - B? s?n ph?m g?m 6 d&acirc;y, nguy&ecirc;n h?p<br /> ",,,taxable,,1,,,,,,,,,,31.000 ?,77.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-Dan-Gu.jpg,,,,,,,,,
,simple,,Bô? máy Lên Dây ?àn Guitar Tuner ET-33 cao câ?p + pick Alice (co? pin),1,,visible,,,,,taxable,,1,,,,,,,,,,69.000 ?,99.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo?-may-L.jpg,,,,,,,,,
,simple,,B? Dây ?àn Guitar Acoustic D&#x27;Addario EZ890 (Cam k?t 100% hàng hãng USA),1,,visible,,,,,taxable,,1,,,,,,,,,,107.000 ?,149.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Day-Dan.jpg,,,,,,,,,
,simple,,Bao da guitar 3 l?p YAMAHA 2 dây ch?c ch?n,1,,visible,,,,,taxable,,1,,,,,,,,,,125.100 ?,169.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bao-da-gui.jpg,,,,,,,,,
,simple,,Dây l? guitar ( Dây s? 2),1,,visible,,,,,taxable,,1,,,,,,,,,,9.000 ?,16.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-le-gui.jpg,,,,,,,,,
,simple,,Dây 6 li (dây Line) c?m ?àn Guitar dài 6m,1,,visible,,,,,taxable,,1,,,,,,,,,,129.000 ?,240.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-6-li-(.jpg,,,,,,,,,
,simple,,B? H?p 6 Dây ?àn Guitar Acoustic D&#x27;Addario EJ15 Cao C?p + Pick Alice (c?? 10),1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ?,250.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Hop-6-D.jpg,,,,,,,,,
,simple,,Dây ?àn guitar acoustic Daddario-EZ910,1,,visible,,"<p>EZ910 là dây c? 11, lo?i này làm cho ti?ng c?a cây ?àn vang to.  D'addario là nhà s?n xu?t dây guitar hàng ??u trên th? gi?i. Các hãng  guitar n?i ti?ng th??ng dùng dây c?a hãng này cho cây ?àn c?a h?.</p> <p style=\""text-align:justify;\"">D'Addario EZ910 ???c cu?n ??ng t? l?  85/15 cung c?p cho cây ?àn c?a b?n âm thanh t??i sáng. Dây ??ng 85/15  k?t h?p v?i ?? sáng nét c?a dây h?p kim 80/20, cùng v?i ?? b?n tuy?t v?i  c?a các dây ??ng phosphor. Các dây qu?n Bronze 85/15 có ?? chính xác  cao, lõi thép l?c giác có hàm l??ng carbon cao t?o giai ?i?u sáng, âm  ?i?u tuy?t v?i và tu?i th? dây cao. ",,,taxable,,1,,,,,,,,,,125.000 ?,190.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-gu.jpg,,,,,,,,,
,simple,,Dây ?àn guitar acoustic Alice Strings-A406 + 10 Pick,1,,visible,,,,,taxable,,1,,,,,,,,,,29.000 ?,60.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-gu.jpg,,,,,,,,,
